project;plan
view_unpublished;"View unpublished 8.x-1.0-rc2+ is Drupal 9 compatible."
jquery_ui_draggable;"8.x-1.2+ is Drupal 9 compatible."
social_media_links;"This module is Drupal 9 compatible 🍻"
jquery_ui_droppable;"8.x-1.2+ is Drupal 9 compatible."
rules;"The 8.x-3.x-dev version of Rules is compatible with Drupal 9 and works with Drupal 9.  Rules still faces an existential threat until https://www.drupal.org/project/drupal/issues/3126747 is fixed. If you want to ensure the future of Rules in Drupal 9 and beyond, please participate in that issue."
mimemail;"This module is Drupal 9 ready."
asset_injector;"<strong>Up to date and ready for Drupal 9.</strong>"
search_api_autocomplete;"This module is fully compatible with Drupal 9."
weight;"This module is Drupal 9 compatible 🍻"
layout_builder_restrictions;"Layout Builder Restrictions 8.x-2.7+ supports Drupal 9."
simple_gmap;"The 3.0.0 release is compatible with both Drupal8 and Drupal9.  1) All module test pass on a Drupal9 ( dev branch as of 20th Jan 2020 )  2) drupal-check, reports no deprecation issues."
menu_trail_by_path;"Drupal 9-ready with patch in [#3042759]."
migrate_source_csv;"This module has no identified issues and should be ready."
flexslider;"FlexSlider 8.x-2.0 is compatible with Drupal 9."
views_field_view;"Drupal 9 compatible"
mailchimp;"The recommended 2.x branch is Drupal 9 ready. Any issues found on this branch will be prioritized for maintenance work."
geocoder;"Geocoder 8.x-3.4+ supports Drupal 9."
ckeditor_media_embed;"This module is ready for Drupal 9."
taxonomy_menu;"As of 21 May 2019, Taxonomy menu <a href=""/project/taxonomy_menu/releases/8.x-3.x-dev"">8.x-3.x-dev</a> is already fully compatible with Drupal 9!"
entity_browser_enhanced;"<strong><a href=""https://www.drupal.org/project/issues/search/entity_browser_enhanced?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
video;"Drupal 9 focus of the module will be to provide video transcoding and hosting only. There will be an integration with the Core Media suite.  Help port this project at [#3146521]"
fontyourface;"This module is Drupal 9 compatible 🍻"
panelizer;"Panelizer 4.4+ supports Drupal 9 and requires Drupal 8.8."
field_formatter_class;"Field Formatter Class 8.x-1.3+ supports Drupal 9. Enjoy."
csp;"Compatible with Drupal 9"
views_templates;"This module is Drupal 9 compatible 🍻"
override_node_options;"8.x-2.x is Drupal 9 compatible."
dynamic_entity_reference;"8.x-1.9 and 8.x-2.0-alpha12 are Drupal 9 compatible."
shield;"This module supports Drupal 9 and requires 8.7.7+ as of version 1.4. If you're using Drupal 8.5 or lower, use 1.2 or 1.3-rc1. If you're using Drupal 8.6, use 1.3"
votingapi;"The project is ready for Drupal 9 🎉🎉🎉"
email_registration;"The 8.x-1.1 release is compatible with Drupal 9. Yay."
consumers;"Consumers >= 8.x-1.11 is compatible with Drupal 9."
fullcalendar_view;"Fullcalendar View 8.x-2.6+ supports Drupal 9."
views_conditional;"This module is Drupal 9 compatible!"
back_to_top;"This module is ready for Drupal 9 ([#3101950], [#3094727])."
geofield_map;"Geofield Map 8.x-2.61+ supports Drupal 9."
tamper;"Help port this project at [#3100431]"
faqfield;"The project is ready for Drupal 9 🎉🎉🎉"
content_access;"8.x-1.0-alpha3 is compatible with Drupal 9."
gin;"This theme is ready & tested with Drupal 9."
views_fieldsets;"The project is ready for Drupal 9 🎉🎉🎉"
devel_entity_updates;"Branch 3.0.x is compatible with both Drupal 8 and Drupal 9."
leaflet;"Leaflet 8.x-1.38+ support Drupal 9."
transliterate_filenames;"8.x-1.4+ is Drupal 9 compatible."
responsive_menu;"This project is Drupal 9 ready"
entity_reference_display;"This module is Drupal 9 compatible."
youtube;"The 8.x-1.2 release is compatible with Drupal 9."
lightning_media;"Lightning Media 4.x and up is compatible with Drupal 9."
social_media;"This module should be ready to go with Drupal 9! Please create an issue if you find any problems."
workbench;"The <a href=""/project/workbench/releases/8.x-1.2"" title=""8.x-1.2 release notes"">8.x-1.2 release</a> and higher are Drupal 9 compatible."
svg_image_field;"This module is Drupal 9 ready."
search404;"2.0.0 fully support latest D8 core and D9."
upgrade_status;"<strong>This module intentionally does not work on Drupal 9.</strong> To detect deprecated API use from 8 to 9, you need to use it on Drupal 8, because that has the definitions of those APIs. Read more at [#3159285]."
quicktabs;"Work for Drupal 9 is under active development. <a href=""https://www.drupal.org/project/quicktabs/issues/3138446"">See plan</a>."
ckeditor_accordion;"Project is Drupal 9 compatible."
layout_builder_modal;"Layout Builder Modal 8.x-1.1+ supports Drupal 9. See [#3127532]"
exclude_node_title;"This module is Drupal 9 compatible 🍻"
rebuild_cache_access;"Rebuild Cache Access is ready for Drupal 9."
masonry;"Compatible with Drupal 9 since version 8.x-1.0"
iframe;"searching co-authors for supporting drupal-9"
calendar;"This module is Drupal 9 compatible 🍻"
pathologic;"D9 compatible as of <a href=""https://www.drupal.org/project/pathologic/releases/8.x-1.0-alpha2"">8.x-1.0-alpha2</a>."
migrate_upgrade;"No known Drupal 9 conflicts. This module should support both Drupal 8 and Drupal 9. Along with Drush 8 (best effort) and Drush 9/10."
physical;"Compatible with Drupal 9 from version 8.x-1.1"
bootstrap_paragraphs;"This module should work just fine with Drupal 8 or 9."
rename_admin_paths;"This module should be Drupal 9 compatible."
lazy;"This module is ready for Drupal 9."
tablefield;[#3062227]
we_megamenu;"Version 8.x-1.11 is D9-ready!"
lightning_layout;"As of version 2.6, this module is compatible with Drupal 9."
slick_entityreference;"This module is Drupal 9 ready."
ldap;"4.x supports Drupal 9.x"
gin_toolbar;"This module works with D9"
field_display_label;"This module is Drupal 9 compatible 🍻"
autoban;"This module is ready for Drupal 9!"
minifyhtml;"Minify Source HTML supports D9 from version 8.x-1.9 and onward."
realname;"Real Name 8.x-dev-1.x supports Drupal 9. Enjoy."
menu_item_role_access;"Menu Item Role Access 8.x-2.x is compatible with Drupal 9!"
ga;"Compatible with Drupal 9"
config_pages;"Versions started from 8.x-2.7 are compatible with Drupal 9"
acsf;"8.x-2.66 is compatible with Drupal 9."
s3fs;"Version 8.x-3.0-alpha17 and above support D9."
clientside_validation;"This module is Drupal 9 ready (8.x-1.2 onwards)"
feeds_ex;"Help port this project at [#3097368]"
matomo;"This module is Drupal 9 ready from version 8-x-1.10!"
smart_date;"This module is Drupal 9 ready."
juicebox;"This module is Drupal 9 compatible 🍻"
spamspan;"The 8.x version is compatible with Drupal 9."
toolbar_menu;"8.x-2.2+ is Drupal 9 compatible."
imageapi_optimize_resmushit;"This module is Drupal 9 ready."
content_lock;"This project has released 8.x-2.0 that is compatible with Drupal 9 and has automated tests."
domain;"Beta2 and higher should be fully compatible with Drupal 9"
administerusersbyrole;"Administer Users by Role supports Drupal 9"
menu_condition;"This module is Drupal 9 compatible 🍻"
term_csv_export_import;"Should be all set. Current version has been updated and tested. File an issue if you find one. Patches appreciated."
change_pwd_page;"This module is ready for Drupal 9."
bootstrap4;"Theme is Drupal 9 compatible."
eck;"This project is compatible with Drupal 9."
flood_unblock;"<a href=""https://www.drupal.org/project/flood_control"">Flood Control is D9 ready</a>"
unlimited_number;"Drupal 8.9 / 9.x support can be found in 2.x branch. 2.x is a drop in replacement for 1.x branch."
media_bulk_upload;"8.x-1.0-alpha27+ is Drupal 9 compatible."
computed_field;"If you'd like to see a stable release, please help with [#3143864]."
views_block_filter_block;"Views Block Exposed Filter Blocks 8.x-1.0+ supports Drupal 9. Enjoy."
ckeditor_youtube;"Compatible with Drupal 9"
autocomplete_deluxe;"<strong>Works and ready for Drupal 9.</strong>"
csv_importer;"Supports D9."
link_class;"Compatible with Drupal 9 since 8.x-1.5 version and 2.x versions"
media_library_theme_reset;"This module is Drupal 9 compatible!"
disable_messages;"Fully compatible with Drupal 9. Use 2.0.0 release."
file_delete;"File Delete 8.x-1.0 supports Drupal 9. Enjoy!"
owlcarousel;"Compatible with Drupal 9 since 8.x-1.0-alpha4"
hreflang;"The 8.x-1.x branch of this module supports Drupal 9."
samlauth;"8.x-3.0-alpha2 is compatible with Drupal 9."
recreate_block_content;"The last dev version should be Drupal 9 compatible."
block_exclude_pages;"Use version 2.0.0 for D9"
node_revision_delete;"This module is ready for Drupal 9."
blockgroup;"Block Group 8.x-1.3+ supports Drupal 9. Enjoy."
audiofield;"Drupal 9 compatible"
social_auth;"Drupal 9 support added in <a href=""https://www.drupal.org/project/social_auth/releases/8.x-2.0-rc3"">8.x-2.0-rc3</a>."
insert;"This module is Drupal 9 compatible 🍻"
cookieconsent;"8.x-1.6+ is Drupal 9 compatible."
prepopulate;"This project supports Drupal core 8.x and 9.x."
avatars;"Avatar Kit follows Drupal 9 and Drupal 8 head with best effort, feel free to file issues."
persistent_login;"Compatible with Drupal 9"
simplify;"Drupal 9 is fully supported by this module."
page_load_progress;"This module should already be compatible with Drupal 9!"
photoswipe;"This module is Drupal 9 compatible in the 3.x branch."
media_entity_download;"Drupal 9 compatible."
commerce_paypal;"This module is Drupal 9 ready."
tmgmt;"Drupal 9 compatible."
search_api_page;"The latest release supports both 8.x and 9.x"
svg_formatter;"This module is Drupal 9 ready."
votingapi_widgets;"The 8.x-1.x-dev version of this module is Drupal 9 compatible."
check_dns;"The <a href=""https://www.drupal.org/project/check_dns/releases/8.x-1.2"">8.x-1.2</a> release and higher are Drupal 9 compatible."
ckeditor_scayt;"Module is Drupal 9 ready."
shariff;"This module is Drupal 9 ready."
perimeter;"<ul>   <li>2.x branch is Drupal 9 compatible</li>   <li>1.x branch will sooner or later be deprecated</li> </ul>"
block_permissions;"8.x-1.1+ is Drupal 9 compatible."
views_exposed_filter_blocks;"This module is Drupal 9 compatible in the latest branch."
ckeditor_bootstrap_buttons;"CKEditor Bootstrap Buttons 8.x-1.2+ supports Drupal 9. Enjoy."
fivestar;"This module is Drupal 9 ready."
responsive_tables_filter;"This module is Drupal 9 compatible! See [#3130319]"
config_rewrite;"See: [#3088325] As long as there is a need to rewrite existing installed configuration. Not future considerations (e.g. /optional stuff that might come later) then we will need this in Drupal 9 too. I will work very hard for you guys to try to get the /rewrite folder into core, but it will be a long hard battle. Please help and support this project if you want to see /rewrite as a core option for the config system. -bw"
config_perms;"Compatible with Drupal 9"
webform_encrypt;"Ready for Drupal 9."
module_missing_message_fixer;"2.0.0 is Drupal 9 compatible"
name;"This module is Drupal 9 ready."
yearonly;"Drupal 9 compatibility patch is applied in 9.0.x branch.  core_version_requirement: ^8 || ^9"
entity_reference_views_select;"Should be all set. Version 1.4 has been updated and tested. File an issue if you find one. This module will be deprecated by drupal 10 in favor of core so maintenence only."
addtocalendar;"Addtocalendar 8.x-3.2+ now supports Drupal 9."
current_page_crumb;"Current Page Crumb supports Drupal 9."
entity_class_formatter;"This module is Drupal 9 compatible."
login_emailusername;"Drupal 9 compatible as of <code>8.x-1.2</code> version."
entity_type_clone;"[#3075627] [#3147371]"
date_recur;"Version 3 is designed and tested for Drupal 9. See support/compatibility table on project page."
field_formatter;"This module is Drupal 9 compatible in the 3.x branch."
subpathauto;"This module is Drupal 9 ready."
fixed_block_content;"This module is compatible with Drupal 9 from version 1.1 onwards"
noreqnewpass;"This module is Drupal 9 compatible 🍻"
contact_formatter;"Contact Formatter 2.0.0+ Supports Drupal 9. Enjoy!"
ckeditor_uploadimage;"Fully compatible as of 8.x-2.0. See [#3130267]."
background_image_formatter;"Fully compatible with Drupal 9."
ckeditor_indentblock;"The module is Drupal 9 ready from version 8.x-1.0-beta2 and up."
advancedqueue;"This module is D9 ready from version 8.x-1.0-rc1"
google_analytics_reports;"<strong><a href=""https://www.drupal.org/project/issues/search/google_analytics_reports?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
imageapi_optimize_binaries;"This module is Drupal 9 ready."
tb_megamenu;"Drupal 9 Compatibility is available via the 2nd Beta Release and the latest 8.x Dev branch"
simple_block;"This module is Drupal 9 compatible 🍻"
social_auth_google;"3.x versions provide ongoing Drupal 9 support"
menu_token;"The maintainers are actively working on the automated patches that will make it compatible with Drupal 9."
d8w3css;"⚡️ Version 8.x-1.16 and up are compatible with Drupal 8 and 9."
cdn;"This module is ready for Drupal 9 as of <a href=""https://www.drupal.org/project/cdn/releases/8.x-3.4"">version 3.4</a>!"
range;"This module is fully compatible with Drupal 9."
bamboo_twig;"Bamboo Twig is already ready for Drupal9 - see the issue [#3090749]"
remove_http_headers;"Compatible with Drupal 9"
scheduled_updates;"There will be a D9 version."
workbench_email;"See [#3094338]"
taxonomy_import;"Help port this project at [#3174577]."
simple_instagram_feed;"The latest 8.x Dev and Stable work in both Drupal 8 and 9."
ckeditor_liststyle;"Read more about this project’s readiness at [#3139809]"
term_reference_tree;"Drupal 9 compatible."
entity_reference_exposed_filters;"Should be all set. Current version has been updated and tested. File an issue if you find one. This module may be deprecated by drupal core so maintenence fixes only."
extra_field;"The <a href=""/project/extra_field/releases/8.x-1.2"">8.x-1.2 release</a> is Drupal 8 and 9 compatible."
user_registrationpassword;"This module is D9 ready"
htmlmail;"The 8.x-3.x-dev version of this module is Drupal 9 compatible."
telephone_formatter;"You can follow a progress on making this module compatible with D9 in [#3087158]"
nodeaccess;"Help port this project at [#3130778]"
gin_login;"This module is ready for D9!"
paragraphs_previewer;"Use 1.x version of this module."
better_social_sharing_buttons;"This module is Drupal 9 compatible beginning with 3.0."
simple_menu_icons;"Release 2.2 is here. Please test."
site_settings;"This module is Drupal 9 ready."
views_aggregator;"This module is Drupal 9 ready."
form_mode_manager;"Compatible with Drupal 9 as of the <a href=""/project/form_mode_manager/releases/8.x-2.0-rc4"">8.x-2.0-rc4</a> release."
private_files_download_permission;"This project is ready for D9."
country;"Compatible since version 8.x-1.0-beta4"
gutenberg;"Drupal Gutenberg has a stable release for Drupal 9."
ckeditor_config;"This module (both 8.x-2.x and 8.x-3.x) is ready for Drupal 9!"
views_taxonomy_term_name_into_id;"Fully compatible with Drupal 9 as of <a href=""https://www.drupal.org/project/views_taxonomy_term_name_into_id/releases/8.x-1.0-alpha3"">8.x-1.0-alpha3</a>."
mobile_detect;"Mobile_Detect works with Drupal 9."
bootstrap_layout_builder;"Ready for Drupal 9!"
registration_role;"Registration role already works with Drupal 9."
plugin;"Compatible with Drupal 9"
contact_emails;"This module is Drupal 9 ready."
publication_date;"The module is compatible with Drupal 9 since beta2."
big_pipe_sessionless;"Read more about this project’s readiness at [#3046409]"
paragraphs_ee;"8.x-1.x-dev is compatible with Drupal 9."
image_resize_filter;"Compatible with Drupal 9"
twig_xdebug;"This module is ready for Drupal 9 as of <a href=""https://www.drupal.org/project/twig_xdebug/releases/8.x-1.2"">version 1.2</a>."
search_autocomplete;"This module has a release compatible with Drupal 9."
bootstrap_styles;"Ready for Drupal 9!"
betterlogin;"Better Login 8.x-1.5+ supports Drupal 9. Enjoy."
total_control;"<strong><a href=""https://www.drupal.org/project/issues/search/total_control?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
yaml_content;"Full support as of 8.x-1.0-alpha6."
showcase_lite;"The theme is fully compatible with Drupal 9"
delete_all;"Delete all >2.0.0 supports Drupal 9"
leaflet_more_maps;"Latest version supports D8.8, D8.9 and D9+"
views_custom_cache_tag;"Ready for Drupal 9."
multiselect;"This module has a Drupal 9-ready release"
mathjax;"This project is ready for Drupal 9 in the 3.0.x branch. See [#3124159]."
date_recur_modular;"Drupal 9 is supported by the 3.x branch. Drupal ^8.9 is support can be found in the 2.x branch. Drupal 8.8.* and older should use 1.x branch."
body_node_id_class;"This module will work as is with Drupal 9."
simple_recaptcha;"<p>see <a href=""https://www.drupal.org/project/simple_recaptcha/issues/3144718"">#3144718 Drupal 9 Compatibility</a>, the module is compatible with Drupal 9 since release 8.x-1.0-alpha12</span>"
jquery_minicolors;"Drupal 9 ready"
imagick;"This module is ready for Drupal 9 as of 8.x-1.4!"
wysiwyg_template;"This project is ready for Drupal 9"
disable_html5_validation;"This module is Drupal 9 compatible!"
layout_builder_component_attributes;"This module is compatible with Drupal 9!"
multiple_registration;"Module versions from <strong>8.x-2.91+</strong> are Drupal Core <strong>8.8.*+</strong> compatible Module versions before <strong>8.x-2.91</strong> are compatible with Drupal Core <strong>8.5 - 8.7</strong>"
views_show_more;"Views Show More 8.x-1.0 supports Drupal 9."
quicklink;"This module is compatible with Drupal 9."
media_directories;"This module is Drupal 9 ready!"
authorization;">=1.0-beta2 is compatible with D9."
media_entity_audio;"8.x-3.x is compatible with Drupal 9."
login_redirect_per_role;"Releasing in Drupal 9 soon"
social_auth_facebook;"3.x versions support Drupal 9."
config_partial_export;"Module should be ready for Drupal 9. See [#3099572]"
adsense;"Project should be ready for Drupal 9 already."
monolog;"This project will be ported to Drupal 9 and will be based on Monolog 2.x"
config_override_warn;"This module is Drupal 9 ready!"
siteimprove;"8.x-1.2 and later releases are Drupal 9 compatible."
file_download_link;"Releases beginning with beta3 are compatible with Drupal 9."
imagefield_slideshow;"Will be soon ported to Drupal 9."
bootstrap_business;"The theme is fully compatible with Drupal 9"
auditfiles;"<del>https://www.drupal.org/project/auditfiles/issues/3127142, https://www.drupal.org/project/auditfiles/issues/3004280 </del> As of release 8.x-2.4 this module is D9 Ready."
ckeditor_templates_ui;"This module is Drupal 9 ready"
smart_ip;"Fully compatible as of 8.x-4.0. See [#3135397]."
visitors;"This module doesn't contain deprecated code, so is D9 ready."
link_field_autocomplete_filter;"Link Field Autocomplete Filter is ready for Drupal 9."
taxonomy_menu_ui;"This module already supports Drupal 9"
duration_field;"Fully D9 compatible as of <a href=""https://www.drupal.org/project/duration_field/releases/8.x-2.0-rc3"">8.x-2.0-rc3</a>."
google_cse;"This module is Drupal 9 compatible! See [#3122504]"
moderated_content_bulk_publish;"The latest release supports Drupal 9­"
webform_rest;"Webform REST <a href=""https://www.drupal.org/project/webform_rest/releases/8.x-2.0-beta3"">8.x-2.0-beta3</a>+ supports Drupal 8.8|Drupal 9."
search_api_sorts;"Read more about this project’s readiness at [#3052009]"
drd_agent;"This project is ready for Drupal 9"
bootstrap_sass;"Ready for Drupal 9"
minifyjs;"Minify JS supports D9 from version 8.x-2.0 and onward."
datatables;"This module is compatible with Drupal core 7, 8 and 9."
empty_fields;"Module compatible with 8.7.7 and 9.x, see [#2927899]"
external_link_popup;Compatible
cacheflush;[#3083843]
securelogin;"The 8.x-1.x branch of this module supports Drupal 9."
ultimenu;"Ultimenu 8.x-2.x supports Drupal 9. Enjoy."
taxonomy_unique;"Taxonomy unique is fully compatible with Drupal 9!"
bulk_update_fields;"Should be all set. Current version has been updated and tested. File an issue if you find one. Patches appreciated."
language_switcher_extended;"The module is compatible with Drupal 8 and Drupal 9."
editor_advanced_image;"EAI is already ready for Drupal 9"
commerce_variation_cart_form;"This module is Drupal 9 ready."
mailgun;"Mailgun module is compatible with Drupal 9 - [#3122834]"
disable_field;"Disable Field is ready for Drupal 9."
manage_display;"Manage display supports Drupal 9."
addanother;"This module is Drupal 9 compatible 🍻"
cookies;"Drupal ^8.6 and ^9.0 supported."
field_encrypt;"8.x-2.0-alpha2 is compatible with Drupal 9"
salesforce;"Salesforce Suite supports Drupal 9"
comments_order;"This module already supports Drupal 9"
serial;"8.x-1.x is Drupal 9 compatible."
image_delta_formatter;"Release 8.x-1.1 is compatible with Drupal 9."
geophp;"This module is Drupal 9 compatible 🍻"
services;[#3154535]
pwa;"Help port this project at [#3131591]"
convert_bundles;"Should be all set. Current version has been updated and tested. File an issue if you find one. Patches appreciated."
unique_field_ajax;"Version 2.x is D9 compatible."
openid_connect_windows_aad;"Actively working on Drupal 9 readiness. Expected June 2020 - dev available as of 20 June 2020."
facets_block;"This module is Drupal 9 ready."
collapsiblock;"Version 3 is compatible with all current versions of Drupal 8 and 9"
rest_views;"Version 2.0.0 is fully compatible with Drupal 9."
modules_weight;"This module is ready for Drupal 9."
config_inspector;"Current releases of the project support Drupal 9. [#3203184]"
varbase_media;"<strong><a href=""https://www.drupal.org/project/issues/search/varbase_media?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
vani;"This theme is Drupal 9 ready. Vani theme is compatible on Drupal 9. So, go ahead and use the theme on Drupal 9 websites."
block_type_templates;"This project is Drupal 9 ready"
tara;"Since Version 8.x-2.0 Tara theme is now compatible with Drupal 9 also."
key_auth;"Completed with version 8.x-1.1."
entity_reference_facet_link;"Version Beta 6 and higher is compatible with Drupal 9"
config_delete;"This module is Drupal 9 ready."
interval;"This module works with Drupal 9 🌰 If you find something else, please <a href=""https://www.drupal.org/node/add/project-issue/interval"">Open an issue!</a> - thanks!"
improved_multi_select;"Compatible with Drupal 9"
